Admin;Admin;admin@admin.com;ROLE_ADMIN;admin
Agnė;Maciulevičiūtė;agnemaciuleviciute@email.com;ROLE_OWNER;password
Margarita;Petkevičiūtė;margaritapetkeviciute@email.com;ROLE_OWNER;password
Renata;Budrytė;renatabudryte@email.com;ROLE_OWNER;password
Liepa;Jasaitytė;liepajasaityte@email.com;ROLE_OWNER;password
Lina;Valaitienė;linavalaitiene@email.com;ROLE_OWNER;password
Viktorija;Karaliūtė;viktorijakaraliute@email.com;ROLE_OWNER;password
Goda;Milinavičiūtė;godamilinaviciute@email.com;ROLE_OWNER;password
Gabrielė;Petrauskienė;gabrielepetrauskiene@email.com;ROLE_OWNER;password
Jolanta;Jonaitytė;jolantajonaityte@email.com;ROLE_OWNER;password
Matas;Kadziauskas;mataskadziauskas@email.com;ROLE_OWNER;password
Povilas;Malinauskas;povilasmalinauskas@email.com;ROLE_OWNER;password
Gabrielius;Butkevičius;gabrieliusbutkevicius@email.com;ROLE_OWNER;password
Greta;Kadziauskienė;gretakadziauskiene@email.com;ROLE_OWNER;password
Gintarė;Petkevičienė;gintarepetkeviciene@email.com;ROLE_OWNER;password
Gintaras;Valaitis;gintarasvalaitis@email.com;ROLE_OWNER;password
Viktoras;Savickas;viktorassavickas@email.com;ROLE_OWNER;password
Monika;Karaliūnaitė;monikakaraliunaite@email.com;ROLE_OWNER;password
Eglė;Kazlauskaitė;eglekazlauskaite@email.com;ROLE_OWNER;password
Mindaugas;Butkevičius;mindaugasbutkevicius@email.com;ROLE_OWNER;password
Gediminas;Jasaitis;gediminasjasaitis@email.com;ROLE_OWNER;password
Andrius;Malinauskas;andriusmalinauskas@email.com;ROLE_OWNER;password
Marius;Petrauskas;mariuspetrauskas@email.com;ROLE_OWNER;password
Deividas;Gabrielaitis;deividasgabrielaitis@email.com;ROLE_OWNER;password
Edvinas;Sakalauskas;edvinassakalauskas@email.com;ROLE_OWNER;password
Kamilė;Pocytė;kamilepocyte@email.com;ROLE_OWNER;password
Emilija;Petkevičiūtė;emilijapetkeviciute@email.com;ROLE_OWNER;password
Gabija;Gabrielaitė;gabijagabrielaite@email.com;ROLE_OWNER;password
Ugnė;Petrauskaitė;ugnepetrauskaite@email.com;ROLE_OWNER;password
Dominykas;Lukoševičius;dominykaslukosevicius@email.com;ROLE_OWNER;password
Dovydas;Jasaitis;dovydasjasaitis@email.com;ROLE_OWNER;password
Adelė;Kazlauskienė;adelekazlauskiene@email.com;ROLE_OWNER;password
Danielius;Markevičius;danieliusmarkevicius@email.com;ROLE_OWNER;password
Benediktas;Petkevičius;benediktaspetkevicius@email.com;ROLE_OWNER;password
Jokūbas;Marcinkevičius;jokubasmarcinkevicius@email.com;ROLE_OWNER;password
Arvydas;Lukošius;arvydaslukosius@email.com;ROLE_OWNER;password
Artūras;Savickas;arturassavickas@email.com;ROLE_OWNER;password
Aurimas;Petrauskas;aurimaspetrauskas@email.com;ROLE_OWNER;password
Augustė;Povilaitytė;augustepovilaityte@email.com;ROLE_OWNER;password
Adomas;Valaitis;adomasvalaitis@email.com;ROLE_OWNER;password
Sofija;Valaitytė;sofijavalaityte@email.com;ROLE_OWNER;password
Teresė;Adomaitytė;tereseadomaityte@email.com;ROLE_OWNER;password
Augustina;Kadziauskienė;augustinakadziauskiene@email.com;ROLE_OWNER;password
Asta;Malinauskienė;astamalinauskiene@email.com;ROLE_OWNER;password
Neringa;Adomaitytė;neringaadomaityte@email.com;ROLE_OWNER;password
Albertas;Petkevičius;albertaspetkevicius@email.com;ROLE_OWNER;password
Alanas;Klinkevičius;alanasklinkevicius@email.com;ROLE_OWNER;password
Akvilė;Malinauskaitė;akvilemalinauskaite@email.com;ROLE_OWNER;password
Linas;Pocius;linaspocius@email.com;ROLE_OWNER;password
Kipras;Savickas;kiprassavickas@email.com;ROLE_OWNER;password
Laurynas;Sakalauskas;laurynassakalauskas@email.com;ROLE_OWNER;password
Anastasija;Malinauskienė;anastasijamalinauskiene@email.com;ROLE_OWNER;password
Barbora;Pocienė;barborapociene@email.com;ROLE_OWNER;password
Bernarda;Pocienė;bernardapociene@email.com;ROLE_OWNER;password
Česlovas;Adomaitis;ceslovasadomaitis@email.com;ROLE_OWNER;password
Dagna;Klinkevičiūtė;dagnaklinkeviciute@email.com;ROLE_OWNER;password
Miglė;Kazlauskienė;miglekazlauskiene@email.com;ROLE_OWNER;password
Dainius;Valaitis;dainiusvalaitis@email.com;ROLE_OWNER;password
Danielė;Petkevičiūtė;danielepetkeviciute@email.com;ROLE_OWNER;password
Donata;Pocytė;donatapocyte@email.com;ROLE_OWNER;password
Dovilė;Kadziauskienė;dovilekadziauskiene@email.com;ROLE_OWNER;password
Jonė;Milinavičiūtė;jonemilinaviciute@email.com;ROLE_OWNER;password
Edgaras;Sakalauskas;edgarassakalauskas@email.com;ROLE_OWNER;password
Elžbieta;Malinauskienė;elzbietamalinauskiene@email.com;ROLE_OWNER;password
Elvyra;Gudaitytė;elvyragudaityte@email.com;ROLE_OWNER;password
Eugenijus;Adomaitis;eugenijusadomaitis@email.com;ROLE_OWNER;password
Feliksas;Pocius;feliksaspocius@email.com;ROLE_OWNER;password
Giedrius;Savickas;giedriussavickas@email.com;ROLE_OWNER;password
Ilona;Sakalauskaitė;ilonasakalauskaite@email.com;ROLE_OWNER;password
Inga;Adomaitytė;ingaadomaityte@email.com;ROLE_USER;password
Inesa;Malinauskaitė;inesamalinauskaite@email.com;ROLE_USER;password
Iveta;Petkevičiūtė;ivetapetkeviciute@email.com;ROLE_USER;password
Jadvyga;Pocytė;jadvygapocyte@email.com;ROLE_USER;password
Karina;Kadziauskienė;karinakadziauskiene@email.com;ROLE_USER;password
Livija;Pocienė;livijapociene@email.com;ROLE_USER;password
Modestas;Valaitis;modestasvalaitis@email.com;ROLE_USER;password
Neda;Malinauskaitė;nedamalinauskaite@email.com;ROLE_USER;password
Ona;Kazlauskaitė;onakazlauskaite@email.com;ROLE_USER;password
